Indicateur;Nouveau_nom_indicateur;Thématique;Source
N2O_Tertiaire;Emissions de N2O du secteur tertiaire (TeqCO2/an);Bâtiment;OEB  / Terristory
GES_Industrie;Emissions de GES du secteur de l'industrie (TeqCO2/an);Industrie;OEB  / Terristory
CO2_direct_Industrie;Emissions de CO2 direct du secteur de l'industrie (TeqCO2/an);Industrie;OEB  / Terristory
CO2_indirect_Industrie;Emissions de CO2 indirect du secteur de l'industrie (TeqCO2/an);Industrie;OEB  / Terristory
CH4_Industrie;Emissions de CH4 du secteur de l'industrie (TeqCO2/an);Industrie;OEB  / Terristory
Fluores_Industrie;Emissions de Fluorés du secteur de l'industrie (TeqCO2/an);Industrie;OEB  / Terristory
N2O_Industrie;Emissions de N2O du secteur de l'industrie (TeqCO2/an);Industrie;OEB  / Terristory
GES_Energie;Emissions de GES du secteur de l'énergie (TeqCO2/an);Energie;OEB  / Terristory
CO2_direct_Energie;Emissions de CO2 direct du secteur de l'énergie (TeqCO2/an);Energie;OEB  / Terristory
CH4_Energie;Emissions de CH4 du secteur de l'énergie (TeqCO2/an);Energie;OEB  / Terristory
GES_Agriculture;Emissions de GES du secteur de l'agriculture (TeqCO2/an);Agriculture;OEB  / Terristory
CO2_direct_Agriculture;Emissions de CO2 direct du secteur de l'agriculture (TeqCO2/an);Agriculture;OEB  / Terristory
CO2_indirect_Agriculture;Emissions de CO2 indirect du secteur de l'agriculture (TeqCO2/an);Agriculture;OEB  / Terristory
CH4_Agriculture;Emissions de CH4 du secteur de l'agriculture (TeqCO2/an);Agriculture;OEB  / Terristory
N2O_Agriculture;Emissions de N2O du secteur de l'agriculture (TeqCO2/an);Agriculture;OEB  / Terristory
Tonnage_DMA;Tonnage annuel de DMA dont gravats collectés par habitant (kg/hab/an);Économie Circulaire;OEB
Part_modale_tc_mode_actif;Part modale des déplacements domicile-travail effectués en modes actifs;Transports;Tableau de bord des mobilités durables
Part_SAU_bio;Part de la SAU du territoire en bio (%);Agriculture;Ecologie data gouv
Etat_Ecologique_Cours_deau;Qualité écologique globale des cours d’eau (de 1 à 5);Eau;OEB
lineaire_cyclable_securise_total;Linéaire cyclable sécurisé sur le territoire (km);Transports;Tableau de bord des mobilités durables
lineaire_cyclable_securise_pour1000hab;Linéaire cyclable sécurisé pour 1000 habitants (km/1000hab);Transports;Tableau de bord des mobilités durables
elec_total;Production annuelle d’électricité du territoire (MWh / an);Energie;OEB
elec_renewable;Production annuelle d’ENR du territoire hors hydroélectrique (MWh / an);Energie;OEB
elec_Part_Electricite_Renouvelable;Part de la Production annuelle d’ENR du territoire hors hydroélectrique dans la production annuelle d’énergie (%);Energie;OEB
points_de_charge_IRVE_total;Points de recharge pour véhicules électriques;Transports;Tableau de bord des mobilités durables
points_de_charge_IRVE_pour1000hab;Points de recharge pour véhicules électriques pour 1000 habitants;Transports;Tableau de bord des mobilités durables
